Description,Location,Number of Rooms,Price
"Property in lightwell, Cornwall Street, Birmingham, B3 2EE for rent","                        Birmingham, West Midlands                    ",1,1000.0
"house for rent at Hamilton Road, SW19","                        London, Greater London                    ",4,4500.0
"Broomfield Terrace, Burley, Leeds, West Yorkshire, LS6 3DQ, UK","                        Leeds, Leeds                    ",4,2207.0
"Damac Tower, 71 Bondway, London, SW8","                        London, Greater London                    ",1,4117.0
"Property To Rent Hamlet Gardens, Hammersmith, W6 | 3 Bedroom Flat through Abacus Estates","                        London, Greater London                    ",3,4801.0
"House For Rent Erasmus Drive, Nightingale Quarter","                        London, Greater London                    ",1,1100.0
apartment for rent in London,"                        London, Greater London                    ",2,12134.0
"house in Sycamore Avenue, Ealing United Kingdom","                        London, Greater London                    ",1,1450.0
"Apartment in London, Greater London","                        London, Greater London                    ",2,7328.0
"Hamlets Way, London, E3","                        London, Greater London                    ",3,2500.0
"Fulham Palace Road, London, W6","                        London, Greater London                    ",1,1300.0
"St George Wharf, London, SW8","                        London, Greater London                    ",3,5200.0
Studio To Rent,"                        Harrow, Harrow                    ",1,823.0
"BRAND NEW DEVELOPMENT, High Spec, Spacious TWO BED / ONE BATH APARTMENT in The Hyde, NW9 The Online Letting Agents Ltd","                        London, Greater London                    ",2,9600.0
"The Fazeley, 63 Shadwell Street, B4 6LQ | FleetMilne","                        Birmingham, West Midlands                    ",2,1550.0
2 bedroom flat to rent,"                        London, Greater London                    ",2,3200.0
2 bedroom apartment to rent,"                        London, Greater London                    ",2,3976.0
Three Bedroom House To Rent,"                        Harrow, Harrow                    ",5,2000.0
Apartment to rent,"                        London, Greater London                    ",1,1994.0
One Bedroom Flat To Rent,"                        London, Greater London                    ",1,1200.0
"2 bedroom property to let in 32 Smithdown Road, Liverpool £625 pcm","                        Liverpool, Merseyside                    ",2,625.0
"Apartment in London, Greater London","                        London, Greater London                    ",2,9779.0
"St James's Street, St James's, London, SW1A","                        London, Greater London                    ",1,4767.0
"apartment for rent at COURTFIELD GARDENS, SOUTH KENSINGTON, SW5","                        London, Greater London                    ",1,3150.0
"2 bed house to rent in Ling Road, London, E16 ref: Ling","                        London, Greater London                    ",2,1400.0
"apartment for rent at Celeste House, Beaufort Park, Colindale NW9","                        London, Greater London                    ",1,8255.0
2 Bedroom Flat / Apartment,"                        London, Greater London                    ",2,1550.0
apartment for rent at Wimbledon Park Road,"                        London, Greater London                    ",2,1800.0
One Bedroom Apartment,"                        Birmingham, West Midlands                    ",3,2362.0
Spacious 2 Bed Flat in Southwark,"                        London, Greater London                    ",2,10800.0
Luxury Studio Flat Euston UCL,"                        London, Greater London                    ",1,2800.0
Flat To Rent,"                        London, Greater London                    ",1,910.0
"213 Townmead Road, SW6 2FH","                        London, Greater London                    ",1,2003.0
"Flat to rent on Ballards Lane Finchley, London, N3, United kingdom","                        London, Greater London                    ",1,1375.0
"Apartment in London, Greater London","                        London, Greater London                    ",1,4636.0
Apartment for rent in London,"                        London, Greater London                    ",2,1600.0
"Property To Rent Ossulton Way, Hampstead Garden Suburb, N2 | 2 Bedroom Flat through Abacus Estates","                        London, Greater London                    ",2,1868.0
"apartment at Granville Gardens, Ealing Common","                        London, Greater London                    ",2,1900.0
"Apartment in London, Greater London","                        London, Greater London                    ",1,5223.0
"North Block, 1D Belvedere Road, London, SE1","                        London, Greater London                    ",2,3150.0
"Apartment in London, Greater London","                        London, Greater London                    ",1,4166.0
2 bedroom flat to rent,"                        London, Greater London                    ",2,1745.0
"Hamilton Road, South Wimbledon, London, SW19","                        London, Greater London                    ",3,3400.0
"apartment for rent at Ridley Street, Birmingham","                        Birmingham, West Midlands                    ",1,1900.0
"Earls Court, Earls Court, London, SW5","                        London, Greater London                    ",1,2059.0
"Luxury One bedroom flat Embassy Gardens with Swimming Pool, Gym and Cinema","                        London, Greater London                    ",1,3000.0
Modern 1 bed in Pimlico,"                        London, Greater London                    ",1,8200.0
"De Vere Gardens, London, W8","                        London, Greater London                    ",3,17117.0
apartment for rent in Kingsley Mews E1W 3HZ UK,"                        London, Greater London                    ",2,2250.0
apartment for rent in Whitehorse Road E1 0NL UK,"                        London, Greater London                    ",2,2250.0
"Lordship Lane, Bruce Grove, London, N17","                        London, Greater London                    ",1,1250.0
"Ontario Tower, 4 Fairmont Avenue, London, E14","                        London, Greater London                    ",1,2100.0
"Shoreditch High Street, Shoreditch, London, E1","                        London, Greater London                    ",2,2402.0
"Stunning Ensuite Room to Rent in Sundridge Park, BR1 The Online Letting Agents Ltd","                        Bromley, Bromley                    ",1,3400.0
Luxury 2 bedroom Split Level Apartment in Bond Street,"                        London, Greater London                    ",2,11000.0
"Wayfare House, Parkside West, London, E14","                        London, Greater London                    ",1,2200.0
Period Three bedroom apartment,"                        London, Greater London                    ",3,4600.0
"Buckland Crescent, Belsize Park, London, NW3","                        London, Greater London                    ",1,1776.0
Modern 3 Bed in Hammersmith,"                        London, Greater London                    ",3,4420.0
apartment for rent in Euston Road NW1 3AA UK,"                        London, Greater London                    ",1,475.0
apartment for rent in Euston Road NW1 3AA UK,"                        London, Greater London                    ",1,500.0
Apartment for rent in London,"                        London, Greater London                    ",3,1550.0
"Tidal Basin Road, LONDON, E16 | Century 21 UK","                        London, Greater London                    ",1,2250.0
Apartment for rent in London,"                        London, Greater London                    ",3,8667.0
House for rent in London,"                        London, Greater London                    ",5,4250.0
"Leeland Road, LONDON, W13 | Century 21 UK","                        London, Greater London                    ",1,1500.0
"2 Bedroom Flat to Rent in 170 Copenhagen Street, London, London, N1, 0GL | allAgents. Property id 3352518","                        London, Greater London                    ",2,2250.0
"Wayfare House, Parkside West, London, E14","                        London, Greater London                    ",1,2250.0
"Doulton House, Chelsea Creek, 11 Park Street, Fulham, London, SW6","                        London, Greater London                    ",2,3000.0
"apartment for rent in Buckland Crescent Belsize Park, NW3 5DX UK","                        London, Greater London                    ",1,495.0
"Neroli House, Piazza Walk, London E1","                        London, Greater London                    ",3,4400.0
"Jacquard Point, 5 Tapestry Way, London E1","                        London, Greater London                    ",1,1900.0
"City Tower, London, E14","                        London, Greater London                    ",1,1750.0
"Exchange Gardens, Keybridge, Vauxhall London SW8","                        London, Greater London                    ",2,2800.0
"Wilton Way, London, E8","                        London, Greater London                    ",5,5400.0
"Property To Rent St. Pauls Avenue, Willesden Green, NW2 | Flat through Abacus Estates","                        London, Greater London                    ",1,1403.0
Apartment for rent in London,"                        London, Greater London                    ",2,3995.0
Gladwin Tower 50 Wandsworth Road LONDON SW8,"                        London, Greater London                    ",2,3200.0
"Westmark Tower, London, W2","                        London, Greater London                    ",2,4400.0
"Landmark Place London,1 Water Lane LONDON EC3R","                        London, Greater London                    ",2,4400.0
"Bagshaw Building, Wardian, London, E14","                        London, Greater London                    ",1,3033.0
"143 Park Road, London, NW8","                        London, Greater London                    ",2,3200.0
"Mallard House, Station Court, London, SW6","                        London, Greater London                    ",1,1800.0
Sugar Quay 1 Water Lane LONDON EC3R,"                        London, Greater London                    ",2,4200.0
18 Portugal Street LONDON WC2A,"                        London, Greater London                    ",1,4200.0
apartment for rent in London,"                        London, Greater London                    ",3,18200.0
"Apartment in North West London, Greater London","                        London, Greater London                    ",1,3464.0
"apartment at Greenacre Gardens Walthamstow, E17 9EX","                        London, Greater London                    ",1,1150.0
2 bedroom apartment to rent,"                        London, Greater London                    ",1,2350.0
Sterling Mansions,"                        London, Greater London                    ",3,6500.0
apartment for rent in London,"                        London, Greater London                    ",1,2102.0
"apartment for rent at Ebury Apartments, Sutherland Street, Pimlico SW1","                        London, Greater London                    ",3,4345.0
apartment for rent in London,"                        London, Greater London                    ",2,2102.0
1 Bedroom Flat To Rent,"                        London, Greater London                    ",1,2000.0
apartment for rent in London,"                        London, Greater London                    ",1,2275.0
"2 Bedroom Flat for rent in Greenside Road, Shepherds Bush, London Borough of Hammersmith & Fulham","                        London, Greater London                    ",2,2999.0
"Apartment in London, Greater London","                        London, Greater London                    ",2,3943.0
"Melbury Gardens, West Wimbledon, SW20","                        London, Greater London                    ",4,3300.0
"Ewer Street, LONDON, SE1 | Century 21 UK","                        London, Greater London                    ",1,2300.0
Apartment for rent in London,"                        London, Greater London                    ",2,1200.0
"Flat 202, Castello Court","                        London, Greater London                    ",1,1808.0
apartment for rent in London,"                        London, Greater London                    ",1,1400.0
"1 Bedroom Flat to Rent in Windsor Road, W5, W5, 3UP | allAgents. Property id 3231663","                        London, Greater London                    ",1,1225.0
apartment for rent in London,"                        London, Greater London                    ",1,3033.0
apartment for rent in London,"                        London, Greater London                    ",1,1755.0
6 bedroom semi detached house to rent,"                        London, Greater London                    ",6,3850.0
Apartment for rent in London,"                        London, Greater London                    ",2,1125.0
"Apartment in London, Greater London","                        London, Greater London                    ",1,3677.0
House for rent in London,"                        London, Greater London                    ",3,3000.0
"Apartment in London, Greater London","                        London, Greater London                    ",1,5862.0
Apartment for rent in London,"                        London, Greater London                    ",1,460.0
"2 Bedroom Detached House to Rent in Ebbisham Drive, Vauxhall, SW8, Stockwell, London, SW8, 1UB | allAgents. Property id 1789964","                        London, Greater London                    ",2,1842.0
"Tabbard Apartments, East Acton Lane W3","                        London, Greater London                    ",2,2500.0
"Kildare Walk, Limehouse, London, England, E14","                        London, Greater London                    ",1,1500.0
"Orsett Terrace, Bayswater, W2","                        London, Greater London                    ",1,1760.0
"Paddington, London, W2","                        London, Greater London                    ",1,3250.0
"Kingston House South, Ennismore Gardens, SW7","                        London, Greater London                    ",2,6380.0
"woodfield avenue, streatham, london, sw16","                        London, Greater London                    ",4,2400.0
apartment for rent in London,"                        London, Greater London                    ",2,1500.0
"Gowers Walk, Aldgate, London, E1","                        London, Greater London                    ",1,1550.0
"2 Bedroom flat to rent in Riverside Quarter, Wandsworth Park, SW18","                        London, Greater London                    ",2,3111.0
"Willowbrook House, Green Lanes, Woodberry Down, London, N4","                        London, Greater London                    ",2,3500.0
apartment for rent in London,"                        London, Greater London                    ",1,1550.0
"Property To Rent Park Road, St Johns Wood, NW8 | 2 Bedroom Apartment through Abacus Estates","                        London, Greater London                    ",2,3563.0
"Property To Rent Lyndhurst Road, London, NW3 | 3 Bedroom Flat through Abacus Estates","                        London, Greater London                    ",3,8581.0
"No 8, Thames City, London SW8","                        London, Greater London                    ",2,4600.0
"281 Kennington Lane, London. SE11","                        London, Greater London                    ",2,3600.0
"Elm Grove, Wimbledon, SW19","                        London, Greater London                    ",3,4000.0
"Hartfield Crescent, London, SW19","                        London, Greater London                    ",4,3850.0
apartment for rent in London,"                        London, Greater London                    ",1,1900.0
apartment for rent in London,"                        London, Greater London                    ",2,2500.0
"Bell House, Elm Grove, Wimbledon, SW19, SW19","                        London, Greater London                    ",2,3200.0
apartment for rent in London,"                        London, Greater London                    ",2,1998.0
apartment for rent in London,"                        London, Greater London                    ",1,2097.0
apartment for rent in London,"                        London, Greater London                    ",1,2396.0
Studio To Rent,"                        London, Greater London                    ",1,1450.0
"Luxurious 3 Bedroom, 3 Bathroom Apartment Private Balcony","                        London, Greater London                    ",3,4000.0
"656 Onslow Gardens, London SW7 — Casa Londra","                        London, Greater London                    ",2,5540.0
1 Bedroom House Terraced to rent,"                        London, Greater London                    ",1,1500.0
apartment for rent in London,"                        London, Greater London                    ",2,2496.0
apartment for rent in London,"                        London, Greater London                    ",1,2708.0
apartment for rent in London,"                        London, Greater London                    ",3,2747.0
Apartment for rent in London,"                        London, Greater London                    ",1,3250.0
"2 Bedroom Flat to Rent in Weymouth Street, London, Marylebone, W1G, 7BS | allAgents. Property id 3433818","                        London, Greater London                    ",2,2708.0
apartment for rent in London,"                        London, Greater London                    ",2,2799.0
apartment for rent in London,"                        London, Greater London                    ",1,2999.0
house for rent in London,"                        London, Greater London                    ",3,2492.0
apartment for rent in London,"                        London, Greater London                    ",3,2799.0
Studio Apartment Apartment,"                        London, Greater London                    ",1,1430.0
house for rent in London,"                        London, Greater London                    ",4,2800.0
"D'oyley Street, Belgravia, SW1X","                        London, Greater London                    ",4,10300.0
"apartment for rent at Crathie Road,, SE12","                        London, Greater London                    ",1,1000.0
"3 bed Flat/Apartment Under Offer Dunoon House, Islington £2,960 PCM Fees Apply","                        London, Greater London                    ",3,2960.0
house for rent in London,"                        London, Greater London                    ",2,3000.0
"2 Bedroom Apartment to Rent in Hill Street, Mayfair, London W1J, Mayfair, W1J, 5NA | allAgents. Property id 3350544","                        London, Greater London                    ",2,4420.0
apartment for rent in London,"                        London, Greater London                    ",2,3796.0
apartment for rent in London,"                        London, Greater London                    ",2,3896.0
apartment for rent in London,"                        London, Greater London                    ",3,4000.0
"Holbein Place, London SW1","                        London, Greater London                    ",3,14000.0
apartment for rent in London,"                        London, Greater London                    ",3,7345.0
house for rent in London,"                        London, Greater London                    ",4,3497.0
"Tarnbrook Court, Holbein Place","                        London, Greater London                    ",2,3980.0
"Mary Neuer Road, Hornsey, London, N8","                        London, Greater London                    ",1,1900.0
"Harlequin Court, Tavistock Street, London, WC2E","                        London, Greater London                    ",2,4384.0
"Apartment in London, Greater London","                        London, Greater London                    ",4,1181.0
apartment for rent in London,"                        London, Greater London                    ",3,9100.0
"Flat to rent in Carnation Way, London SW8","                        London, Greater London                    ",4,19246.0
apartment for rent in London,"                        London, Greater London                    ",3,1998.0
apartment for rent in London,"                        London, Greater London                    ",2,9512.0
"Kingston House South, Ennismore Gardens, SW7","                        London, Greater London                    ",2,5180.0
"Wager Street, Mile End, London, England, E3","                        London, Greater London                    ",3,2750.0
"Clinton Road, Mile End, London, England, E3","                        London, Greater London                    ",4,3500.0
"independence house, wimbledon, sw19","                        London, Greater London                    ",2,1400.0
2 Bedroom Flat in Willesden,"                        London, Greater London                    ",2,2080.0
"Merchant Square, London, W2","                        London, Greater London                    ",3,6500.0
2 BEDROOM,"                        London, Greater London                    ",2,4600.0
Harcourt Terrace,"                        London, Greater London                    ",1,3000.0
apartment for rent in London,"                        London, Greater London                    ",3,10184.0
"Fulham Road, Chelsea, SW3","                        London, Greater London                    ",2,3920.0
Stylish One Bedroom next to Hyde Park,"                        London, Greater London                    ",2,3512.0
"Crawford Street, Marylebone, W1H","                        London, Greater London                    ",2,2760.0
"Harrington Road, South Kensington, SW7","                        London, Greater London                    ",3,26000.0
"Ennismore Gardens, SW7","                        London, Greater London                    ",2,5980.0
"Hermon Hill, Wanstead","                        London, Greater London                    ",2,1450.0
"Vincent Square, Westminster, SW1P","                        London, Greater London                    ",1,1900.0
"Teddington Riverside Teddington, 2 bedroom, Apartment","                        London, Greater London                    ",2,2915.0
"Clarence Place, Hackney, E5 8HN","                        London, Greater London                    ",3,3500.0
"Woodmill Road, Hackney, E5 9GB","                        London, Greater London                    ",1,1500.0
3 Bedroom Flat To Rent,"                        London, Greater London                    ",3,4311.0
house for rent,"                        London, Greater London                    ",4,4000.0
2 Bedroom Apartment To Rent,"                        London, Greater London                    ",2,3264.0
1 Bedroom Flat To Rent,"                        London, Greater London                    ",1,2400.0
"To Rent Wrentham Avenue, Kensal Rise, London, NW10","                        London, Greater London                    ",2,1244.0
"2 Bedroom Flat to Rent in Maida Vale, London W9, Maida Hill, London, W9, 1QS | allAgents. Property id 2910495","                        London, Greater London                    ",2,1647.0
"4 Bedroom Semi Detached House to Rent in Aberdare Gardens, London, NW6, 3QA | allAgents. Property id 3186010","                        London, Greater London                    ",4,3900.0
"St. Pauls Road, London","                        London, Greater London                    ",2,2400.0
1 room apartment to let in London,"                        London, Greater London                    ",1,3467.0
2 Bed Flat / Apartment Oakhurst Grove London SE22 Truepenny's Head Office,"                        London, Greater London                    ",2,1650.0
"Node, Brixton, SE24","                        London, Greater London                    ",1,1700.0
"apartment for rent at Sydney Mews, London, SW3","                        London, Greater London                    ",2,4019.0
"apartment for rent at Royal Mint Street, Tower Hill, London, E1","                        London, Greater London                    ",1,2498.0
Redcliffe Square,"                        London, Greater London                    ",1,2760.0
"Property To Rent Priory Road, Acton, W4 | 1 Bedroom Flat through Abacus Estates","                        London, Greater London                    ",1,1738.0
"Theatre Street, London, SW11","                        London, Greater London                    ",2,1900.0
"apartment for rent at Melbury Road, London, W14","                        London, Greater London                    ",2,4236.0
"Property for rent in Ramsay Road, Forest Gate, London, E7 Victor Michael","                        London, Greater London                    ",3,1950.0
"apartment for rent at Royal Mint Street, Tower Hill, London, E1","                        London, Greater London                    ",1,2150.0
"apartment for rent at Hans Place, Knightsbridge, London, SW1X","                        London, Greater London                    ",3,9776.0
"apartment for rent at Kennington Lane, London, SE11","                        London, Greater London                    ",1,2389.0
"Studio to Rent in Oakley Square, Camden, London, NW1, NW1, 1NJ | allAgents. Property id 3376406","                        London, Greater London                    ",1,1400.0
"apartment for rent at Tower Bridge Road, London, SE1","                        London, Greater London                    ",1,2807.0
"Detached house to rent in Totteridge Common, London N20","                        London, Greater London                    ",5,10659.0
Studio To Rent,"                        London, Greater London                    ",1,866.0
Redcliffe Road,"                        London, Greater London                    ",2,3580.0
"Apartment in South East London, Greater London","                        London, Greater London                    ",1,2202.0
"Arundel Gardens, London, W11","                        London, Greater London                    ",3,13000.0
Studio To Rent,"                        London, Greater London                    ",1,790.0
Apartment for rent in London,"                        London, Greater London                    ",2,2058.0
house for rent in London,"                        London, Greater London                    ",3,3198.0
3 Bedroom House Terraced to rent,"                        London, Greater London                    ",3,2500.0
"Flat to rent in Wellington Street, London,, SE18","                        London, Greater London                    ",2,2000.0
3 Bedroom House Semi Detached to rent,"                        London, Greater London                    ",3,1995.0
3 Bedroom House Semi Detached to rent,"                        London, Greater London                    ",3,1750.0
3 Bedroom House Detached to rent,"                        London, Greater London                    ",3,2500.0
1 Bedroom House Terraced to rent,"                        London, Greater London                    ",1,1400.0
5 Bedroom House Detached to rent,"                        London, Greater London                    ",5,5000.0
"Walthamstow, London, E17","                        London, Greater London                    ",3,2400.0
1 bedroom flat to rent,"                        London, Greater London                    ",1,2150.0
"3 bedroom ground floor flat for rent in Effra Road, London, SW19","                        London, Greater London                    ",1,2450.0
"1 Bedroom Flat to Rent in Archer Street Top Flat, 5 Archer Street, London, W1D, 5 Archer Street, W1D, 7AR | allAgents. Property id 3270025","                        London, Greater London                    ",1,1500.0
apartment for rent,"                        London, Greater London                    ",1,1700.0
"apartment at Cairo Road Walthamstow, E17 3BB","                        London, Greater London                    ",1,1295.0
apartment for rent in London,"                        London, Greater London                    ",3,5742.0
apartment for rent in London,"                        London, Greater London                    ",1,2400.0
Apartment for rent in London,"                        London, Greater London                    ",2,4998.0
"2 Bedroom Flat to Rent in Fulham Road, London, SW3 6SH, SW3, 6SH | allAgents. Property id 3175421","                        London, Greater London                    ",2,3340.0
"Apartment in London, Greater London","                        London, Greater London                    ",4,6662.0
"gledhow gardens, london, uk, sw5","                        London, Greater London                    ",2,26000.0
"langham mansions, earls court square, london, uk, sw5","                        London, Greater London                    ",2,14732.0
"Warwick Grove, London, E5","                        London, Greater London                    ",2,2015.0
"Parkside Court, 15 Booth Road, Waterside Park, London, E16","                        London, Greater London                    ",3,2600.0
"2 bedroom property to let in Trebovir Road, Earl's Court, London, SW5 £3,879 pcm","                        London, Greater London                    ",2,3879.0
"Warwick Gardens, Kensington","                        London, Greater London                    ",3,4500.0
"Flagstaff House, 10 St George Wharf, Nine Elms, London, SW8","                        London, Greater London                    ",2,3400.0
apartment for rent in London,"                        London, Greater London                    ",3,3142.0
"culverden road, balham, london, sw12","                        London, Greater London                    ",2,1500.0
"Property To Rent Harley Road, Swiss Cottage, NW3 | 4 Bedroom Apartment through Abacus Estates","                        London, Greater London                    ",4,10863.0
"Wellesley Court, Maida Vale, W9","                        London, Greater London                    ",1,1840.0
"Hill Street, London, W1J","                        London, Greater London                    ",2,4000.0
"Property To Rent St. Johns Wood Park, St. Johns Wood, NW8 | 2 Bedroom Flat through Abacus Estates","                        London, Greater London                    ",2,5214.0
house for rent in London,"                        London, Greater London                    ",4,4000.0
"Property To Rent Gondar Gardens, West Hampstead, NW6 | 3 Bedroom Mansion Block through Abacus Estates","                        London, Greater London                    ",3,2389.0
apartment for rent in London,"                        London, Greater London                    ",4,4000.0
apartment for rent in London,"                        London, Greater London                    ",2,2297.0
"apartment for rent at Birchside Apartments, Albert Road, London, NW6","                        London, Greater London                    ",1,2063.0
"Property To Rent West End Lane, West Hampstead, NW6 | 2 Bedroom Apartment through Abacus Estates","                        London, Greater London                    ",2,1581.0
"Fishguard Way, Galleons Lock, E16 Monthly Rental Of £1,500","                        London, Greater London                    ",2,1500.0
"Property To Rent Lithos Road, London, NW3 | Flat through Abacus Estates","                        London, Greater London                    ",1,1520.0
"apartment for rent at Forest Road, London, E17","                        London, Greater London                    ",2,1550.0
"Flat to rent in Hampton House, Kings Road Park, SW6","                        London, Greater London                    ",2,3700.0
"Apartment in London, Greater London","                        London, Greater London                    ",1,3908.0
Courtfield Gardens,"                        London, Greater London                    ",1,2300.0
"Apartment in London, Greater London","                        London, Greater London                    ",2,4796.0
"3 Bedroom Flat to Rent in St. Martins Lane, Covent Garden, Covent Garden, WC2N, 4EA | allAgents. Property id 3395364","                        London, Greater London                    ",3,6500.0
"Parkland Road, London, N22","                        London, Greater London                    ",2,1550.0
Double Self Contained Studio To Rent,"                        London, Greater London                    ",1,823.0
"apartment at Bishops Close Walthamstow, E17 9RP","                        London, Greater London                    ",2,1695.0
"house at Winns Avenue Walthamstow, E17 5LR","                        London, Greater London                    ",2,1795.0
"house for rent at dashwood avenue 1, London","                        London, Greater London                    ",1,575.0
"Teale Street, London, 2 bedroom, Flat","                        London, Greater London                    ",2,1800.0
"Crews Street, E14 3SP","                        London, Greater London                    ",1,1851.0
"To Rent West End Lane, London, NW6 £323.08 pw Tenancy Info","                        London, Greater London                    ",1,1292.0
"Paxton Point, 3 Merryweather Place, Greenwich, London, SE10","                        London, Greater London                    ",1,1750.0
"Skinner Street, London, EC1","                        London, Greater London                    ",3,3000.0
"Apartment in London, Greater London","                        London, Greater London                    ",2,1074.0
"Park Lane, London, W1K","                        London, Greater London                    ",1,3004.0
"New Hereford House, 129 Park Street, Mayfair, W1K","                        London, Greater London                    ",2,2700.0
1 Bed Flat / Apartment Naval House London SE18 Truepenny's Head Office,"                        London, Greater London                    ",1,1400.0
"house at London, E6 3AR","                        London, Greater London                    ",3,2300.0
1 Bedroom Studio To Let,"                        London, Greater London                    ",1,2200.0
1 Bedroom Apartment To Let,"                        London, Greater London                    ",1,1776.0
"1 bedroom flat to let in High Road, London, N22 | Capital Homes Residential","                        London, Greater London                    ",1,1650.0
Icon Tower 8 Portal Way LONDON W3,"                        London, Greater London                    ",2,2450.0
"Property in Park Avenue, Alexandra Park, London, N22 7EY","                        London, Greater London                    ",2,1650.0
1 Bedroom Flat for rent in London,"                        London, Greater London                    ",1,1408.0
"Apartment in London, Greater London","                        London, Greater London                    ",3,5631.0
Price £825 pw Available 28/03/2023 Unfurnished,"                        London, Greater London                    ",2,3300.0
"SpringviewHeights,BermondseyWallWest,London,SE16","                        London, Greater London                    ",2,550.0
"Warren Court, Euston Road, Fitzrovia, London, NW1","                        London, Greater London                    ",1,1820.0
"Studio Flat to Rent in Hill Street, Mayfair W1J, Mayfair, W1J, 5NA | allAgents. Property id 3228402","                        London, Greater London                    ",1,2297.0
"Barbican, London, EC2Y","                        London, Greater London                    ",1,2882.0
"To Rent Lyncroft Gardens, London, NW6 £300 pw Tenancy Info","                        London, Greater London                    ",1,1200.0
"Boundary Road, London, NW8","                        London, Greater London                    ",3,4200.0
"Apartment in London, Greater London","                        London, Greater London                    ",2,5063.0
"Southolm Street, Battersea SW11, London","                        London, Greater London                    ",1,1600.0
"Crossway, Hackney, N16 8LA","                        London, Greater London                    ",2,2500.0
2 Bedroom Apartment To Rent,"                        London, Greater London                    ",2,4000.0
2 Bedroom Apartment To Rent,"                        London, Greater London                    ",2,2903.0
2 Bedroom Flat To Rent,"                        London, Greater London                    ",2,3000.0
"Walthamstow, London, 3 bedroom, House","                        London, Greater London                    ",3,2099.0
"1 Bedroom Flat to Rent in Bruton Lane, Mayfair, W1J, Mayfair, W1J, 6JH | allAgents. Property id 3144484","                        London, Greater London                    ",1,2600.0
